"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"24244",2014-12-14,"47","42","37","31","29","28","70","62","53","29.99","29.91","29.87","10","10","10","17","12","22","0.00","4","","325<br />","New York City (USA)","Autumn"
"24245",2014-12-15,"48","41","34","34","30","27","79","66","53","30.14","30.07","29.99","10","10","10","12","5","16","0.00","2","","311<br />","New York City (USA)","Autumn"
"24246",2014-12-16,"50","42","33","46","39","31","93","82","71","30.13","30.02","29.84","10","7","2","14","4","16","0.30","7","Rain","94<br />","New York City (USA)","Autumn"
"24247",2014-12-17,"55","49","43","46","38","26","93","72","50","29.91","29.85","29.81","10","8","1","24","13","31","0.03","7","Rain","296<br />","New York City (USA)","Autumn"
"24248",2014-12-18,"44","41","38","26","24","21","59","50","41","30.01","29.96","29.89","10","10","10","30","16","37","0.00","5","","297<br />","New York City (USA)","Autumn"
"24249",2014-12-19,"40","36","32","25","21","19","59","52","44","30.21","30.07","29.98","10","10","10","22","15","25","0.00","5","","318<br />","New York City (USA)","Autumn"
"24250",2014-12-20,"34","33","31","21","20","19","63","60","56","30.32","30.28","30.20","10","10","10","14","6","18","0.00","8","","5<br />","New York City (USA)","Autumn"
"24251",2014-12-21,"38","36","33","30","26","21","82","72","61","30.35","30.32","30.29","10","10","10","13","7","15","T","8","Snow","349<br />","New York City (USA)","Winter"
"24252",2014-12-22,"48","43","37","43","37","30","86","78","70","30.35","30.27","30.16","10","9","5","18","9","23","0.04","8","Rain","44<br />","New York City (USA)","Winter"
"24253",2014-12-23,"50","49","47","45","44","43","93","90","86","30.17","30.11","30.06","10","5","1","20","11","24","0.21","8","Rain","42<br />","New York City (USA)","Winter"
"24254",2014-12-24,"57","52","47","54","49","44","100","93","86","30.08","29.83","29.56","3","1","0","25","10","32","1.05","8","Fog-Rain","97<br />","New York City (USA)","Winter"
"24255",2014-12-25,"57","50","42","52","38","27","96","66","35","30.14","29.77","29.52","10","8","0","30","17","39","0.06","5","Fog-Rain","261<br />","New York City (USA)","Winter"
"24256",2014-12-26,"51","45","38","33","30","28","70","56","42","30.26","30.22","30.15","10","10","10","16","11","23","0.00","1","","260<br />","New York City (USA)","Winter"
"24257",2014-12-27,"54","46","37","39","34","30","79","62","45","30.28","30.21","30.09","10","10","10","14","6","17","0.00","4","","223<br />","New York City (USA)","Winter"
"24258",2014-12-28,"54","48","42","43","38","28","83","69","54","30.08","29.97","29.91","10","10","6","21","10","24","0.05","7","Rain","256<br />","New York City (USA)","Winter"
"24259",2014-12-29,"46","41","35","26","20","15","53","42","31","30.27","30.18","30.09","10","10","10","20","11","26","0.00","6","","334<br />","New York City (USA)","Winter"
"24260",2014-12-30,"36","32","28","20","13","7","59","48","36","30.42","30.37","30.28","10","10","10","17","9","23","0.00","5","","355<br />","New York City (USA)","Winter"
"24261",2014-12-31,"34","31","28","14","9","6","50","41","32","30.38","30.31","30.20","10","10","10","18","11","24","0.00","3","","266<br />","New York City (USA)","Winter"
"24263",2015-01-01,"40","34","28","22","12","5","50","40","29","30.21","30.10","30.01","10","10","10","26","17","32","0.00","1","","246<br />","New York City (USA)","Winter"
"24264",2015-01-02,"45","40","35","23","18","15","59","45","31","30.47","30.24","30.04","10","10","10","24","14","30","0.00","4","","271<br />","New York City (USA)","Winter"
"24265",2015-01-03,"47","39","30","44","30","19","93","71","48","30.61","30.45","30.09","10","7","1","18","9","23","0.94","7","Rain","69<br />","New York City (USA)","Winter"
"24266",2015-01-04,"55","49","43","52","46","37","96","87","77","30.04","29.83","29.68","10","6","0","28","10","36","0.47","8","Fog-Rain","227<br />","New York City (USA)","Winter"
"24267",2015-01-05,"51","37","23","28","12","-3","59","42","24","30.43","30.13","29.82","10","10","10","33","20","48","0.00","3","","290<br />","New York City (USA)","Winter"
"24268",2015-01-06,"23","21","19","16","9","-3","77","56","34","30.44","30.26","30.04","10","6","0","23","9","28","0.07","7","Snow","281<br />","New York City (USA)","Winter"
"24269",2015-01-07,"25","18","10","13","2","-13","68","50","31","30.29","30.05","29.94","10","10","10","40","21","47","0.00","4","","290<br />","New York City (USA)","Winter"
"24270",2015-01-08,"22","15","8","4","-3","-12","53","46","38","30.46","30.37","30.26","10","10","10","33","17","39","0.00","3","","274<br />","New York City (USA)","Winter"
"24271",2015-01-09,"34","28","21","21","11","1","88","62","35","30.23","30.10","30.01","10","9","0","33","20","40","0.07","6","Snow","252<br />","New York City (USA)","Winter"
"24272",2015-01-10,"24","21","18","2","0","-2","47","41","34","30.61","30.46","30.26","10","10","10","25","17","32","0.00","1","","275<br />","New York City (USA)","Winter"
"24273",2015-01-11,"38","29","20","21","10","0","56","46","36","30.71","30.62","30.51","10","10","10","21","11","24","0.00","6","","233<br />","New York City (USA)","Winter"
"24274",2015-01-12,"40","37","34","36","30","20","92","72","52","30.51","30.27","30.12","10","6","1","16","6","20","0.70","8","Rain","251<br />","New York City (USA)","Winter"
"24275",2015-01-13,"37","28","19","31","13","3","76","57","38","30.64","30.51","30.25","10","10","10","24","15","29","0.00","5","","360<br />","New York City (USA)","Winter"
"24276",2015-01-14,"33","26","19","21","17","8","73","65","56","30.58","30.38","30.19","10","10","10","16","12","20","0.00","7","","22<br />","New York City (USA)","Winter"
"24277",2015-01-15,"35","31","27","21","17","14","69","55","40","30.18","30.08","29.94","10","10","10","18","10","22","0.00","4","","300<br />","New York City (USA)","Winter"
"24278",2015-01-16,"45","33","20","20","13","-1","63","46","28","30.23","29.95","29.82","10","10","10","36","18","45","0.00","3","","284<br />","New York City (USA)","Winter"
"24279",2015-01-17,"32","25","18","21","6","-1","63","48","32","30.42","30.35","30.25","10","10","10","21","11","26","0.00","2","","266<br />","New York City (USA)","Winter"
"24280",2015-01-18,"47","37","27","45","36","23","93","81","69","30.24","29.91","29.70","10","6","1","21","6","23","1.62","7","Fog-Rain","304<br />","New York City (USA)","Winter"
"24281",2015-01-19,"45","40","35","32","26","18","92","65","38","29.90","29.82","29.74","10","10","10","31","15","37","T","6","","276<br />","New York City (USA)","Winter"
"24282",2015-01-20,"41","37","32","26","19","5","59","43","27","30.06","29.94","29.88","10","10","10","20","12","28","T","6","","295<br />","New York City (USA)","Winter"
"24283",2015-01-21,"38","32","26","20","10","5","50","38","25","30.20","30.15","30.07","10","10","9","14","6","20","T","6","Snow","21<br />","New York City (USA)","Winter"
"24284",2015-01-22,"41","36","31","24","20","14","61","52","43","30.34","30.23","30.16","10","10","10","20","8","28","0.00","5","","346<br />","New York City (USA)","Winter"
"24285",2015-01-23,"39","34","28","27","18","11","64","52","40","30.37","30.23","30.01","10","10","9","17","11","21","T","3","Snow","260<br />","New York City (USA)","Winter"
"24286",2015-01-24,"40","37","33","34","30","24","89","72","54","29.98","29.56","29.26","10","5","0","23","11","66","0.75","8","Fog-Rain-Snow","345<br />","New York City (USA)","Winter"
"24287",2015-01-25,"45","39","32","29","18","8","75","50","25","30.01","29.77","29.52","10","10","10","26","15","33","0.00","6","","301<br />","New York City (USA)","Winter"
"24288",2015-01-26,"32","28","24","23","18","6","84","62","39","30.04","29.90","29.67","10","4","0","31","18","39","0.33","8","Snow","31<br />","New York City (USA)","Winter"
"24289",2015-01-27,"27","24","20","21","16","8","81","69","57","29.86","29.69","29.63","10","5","0","29","19","36","0.06","8","Snow","344<br />","New York City (USA)","Winter"
"24290",2015-01-28,"33","25","17","10","6","0","62","49","36","30.28","30.07","29.87","10","10","10","24","14","29","0.00","2","","332<br />","New York City (USA)","Winter"
"24291",2015-01-29,"37","27","17","29","14","1","75","57","39","30.35","30.22","30.02","10","10","6","20","8","28","0.01","5","Snow","212<br />","New York City (USA)","Winter"
"24292",2015-01-30,"38","29","19","31","21","4","89","67","44","30.01","29.91","29.83","10","8","2","38","19","49","0.04","6","Snow","284<br />","New York City (USA)","Winter"
"24293",2015-01-31,"27","21","14","6","0","-5","51","42","32","30.23","30.12","30.01","10","10","10","38","23","47","0.00","1","","310<br />","New York City (USA)","Winter"
